hashtag_id,tag_name,date,view_count,like_count,comment_count,share_count,video_count,engagement_rate,view_growth,like_growth,engagement_growth,trend_score
40,phongcachdouyin,2026-05-12,702052,50347,257,4515,7,7.851116653585982,5212.0,373.0,-0.0028988248373593706,3195.1
40,phongcachdouyin,2026-05-13,706602,50714,259,4530,7,7.854905795758015,4550.0,367.0,0.0037891421720326335,2864.0
42,style,2026-05-10,191622625,17392411,60941,1030660,109,9.64604879175385,0.0,0.0,0.0,109160.1
42,style,2026-05-11,191803039,17407454,60983,1032265,109,9.645677148808486,180414.0,15043.0,-0.00037164294536395914,204044.7
42,style,2026-05-12,191883998,17418875,61003,1033294,109,9.648106197745024,80959.0,11421.0,0.0024290489365377255,153335.5
42,style,2026-05-13,192042574,17429398,61010,1033969,109,9.645974076321357,158576.0,10523.0,-0.0021321214236671437,191942.8
43,phoidosinhvien,2026-05-10,15900000,448600,7697,28683,2,3.050188487409529,0.0,0.0,0.0,3638.0
43,phoidosinhvien,2026-05-11,15900000,448600,7697,28683,2,3.050188487409529,0.0,0.0,0.0,3638.0
43,phoidosinhvien,2026-05-12,15900000,448700,7698,28684,2,3.050829996803145,0.0,100.0,0.0006415093936160687,3668.2000000000003
43,phoidosinhvien,2026-05-13,15900000,448700,7699,28684,2,3.0508362861109255,0.0,0.0,6.289307780349418e-06,3638.3
45,tiktokvietnam,2026-05-10,15900000,448600,7697,28683,2,3.050188487409529,0.0,0.0,0.0,3638.0
45,tiktokvietnam,2026-05-11,15900000,448600,7697,28683,2,3.050188487409529,0.0,0.0,0.0,3638.0
45,tiktokvietnam,2026-05-12,15900000,448700,7698,28684,2,3.050829996803145,0.0,100.0,0.0006415093936160687,3668.2000000000003
45,tiktokvietnam,2026-05-13,15900000,448700,7699,28684,2,3.0508362861109255,0.0,0.0,6.289307780349418e-06,3638.3
47,xuhuong2023,2026-05-10,17421600,511102,8029,30360,4,3.1540786636084706,0.0,0.0,0.0,3838.9
47,xuhuong2023,2026-05-11,17421700,511103,8029,30360,4,3.1540662992666446,100.0,1.0,-1.236434182594337e-05,3889.2
47,xuhuong2023,2026-05-12,17421900,511203,8030,30361,4,3.1546155611835927,200.0,100.0,0.0005492619169480406,3969.1000000000004
47,xuhuong2023,2026-05-13,17422100,511203,8031,30361,4,3.154585087068431,200.0,0.0,-3.047411516154952e-05,3939.2000000000003
48,thoitrangnam2025,2026-05-10,357900,5928,133,624,1,1.8678349599470245,0.0,0.0,0.0,75.7
48,thoitrangnam2025,2026-05-11,358100,5928,133,625,1,1.8670710218625473,200.0,0.0,-0.0007639380844772781,175.8
48,thoitrangnam2025,2026-05-12,358200,5928,133,625,1,1.8665497862931706,100.0,0.0,-0.0005212355693766657,125.8
48,thoitrangnam2025,2026-05-13,358300,5929,133,625,1,1.8663079366231188,100.0,1.0,-0.00024184967005180802,126.1
49,quanjeansnamongsuong,2026-05-10,357900,5928,133,624,1,1.8678349599470245,0.0,0.0,0.0,75.7
49,quanjeansnamongsuong,2026-05-11,358100,5928,133,625,1,1.8670710218625473,200.0,0.0,-0.0007639380844772781,175.8
49,quanjeansnamongsuong,2026-05-12,358200,5928,133,625,1,1.8665497862931706,100.0,0.0,-0.0005212355693766657,125.8
49,quanjeansnamongsuong,2026-05-13,358300,5929,133,625,1,1.8663079366231188,100.0,1.0,-0.00024184967005180802,126.1
50,outfitnam2025,2026-05-10,357900,5928,133,624,1,1.8678349599470245,0.0,0.0,0.0,75.7
50,outfitnam2025,2026-05-11,358100,5928,133,625,1,1.8670710218625473,200.0,0.0,-0.0007639380844772781,175.8
50,outfitnam2025,2026-05-12,358200,5928,133,625,1,1.8665497862931706,100.0,0.0,-0.0005212355693766657,125.8
50,outfitnam2025,2026-05-13,358300,5929,133,625,1,1.8663079366231188,100.0,1.0,-0.00024184967005180802,126.1
51,quanjeannam,2026-05-10,1163600,36606,382,1187,3,3.280763766961355,0.0,0.0,0.0,156.9
51,quanjeannam,2026-05-11,1163900,36608,382,1188,3,3.2801758912484824,300.0,2.0,-0.0005878757128727763,307.6
51,quanjeannam,2026-05-12,1164000,36608,382,1188,3,3.2798940894380673,100.0,0.0,-0.00028180181041514984,207.0
51,quanjeannam,2026-05-13,1164200,36612,382,1188,3,3.279674214332405,200.0,4.0,-0.0002198751056621262,258.20000000000005
52,goiyphoidonam,2026-05-10,1151000,33204,433,2635,4,3.1513439171642768,0.0,0.0,0.0,306.8
52,goiyphoidonam,2026-05-11,1151400,33206,433,2636,4,3.150509683420459,400.0,2.0,-0.0008342337438178582,507.5
52,goiyphoidonam,2026-05-12,1152000,33306,437,2637,4,3.157983369806103,600.0,100.0,0.007473686385643941,637.4
52,goiyphoidonam,2026-05-13,1152500,33308,437,2638,4,3.1568736165955604,500.0,2.0,-0.001109753210542408,558.1
53,jeansnam2025,2026-05-10,357900,5928,133,624,1,1.8678349599470245,0.0,0.0,0.0,75.7
53,jeansnam2025,2026-05-11,358100,5928,133,625,1,1.8670710218625473,200.0,0.0,-0.0007639380844772781,175.8
53,jeansnam2025,2026-05-12,358200,5928,133,625,1,1.8665497862931706,100.0,0.0,-0.0005212355693766657,125.8
53,jeansnam2025,2026-05-13,358300,5929,133,625,1,1.8663079366231188,100.0,1.0,-0.00024184967005180802,126.1
54,setdonam,2026-05-10,1600000,50700,828,7951,1,3.7174351766030145,0.0,0.0,0.0,877.9000000000001
54,setdonam,2026-05-11,1600000,50700,828,7954,1,3.7176226764858273,0.0,0.0,0.00018749988281285823,878.2
54,setdonam,2026-05-12,1600000,50700,828,7957,1,3.7178101763686398,0.0,0.0,0.00018749988281241414,878.5
54,setdonam,2026-05-13,1600000,50700,828,7960,1,3.717997676251452,0.0,0.0,0.00018749988281241414,878.8
56,reviewdonam,2026-05-10,15999727,422872,3997,15099,10,2.7623469598983186,0.0,0.0,0.0,1909.6000000000001
56,reviewdonam,2026-05-11,16101495,422887,3996,15102,10,2.744993384465642,101768.0,15.0,-0.01735357543267657,52798.299999999996
56,reviewdonam,2026-05-12,16102527,422900,3996,15104,10,2.744910612793221,1032.0,13.0,-8.277167242098926e-05,2429.9
56,reviewdonam,2026-05-13,16103871,422913,3996,15104,10,2.7447622534505984,1344.0,13.0,-0.00014835934262258377,2585.9
57,dangmacdo,2026-05-10,16657000,457503,4323,15553,9,2.8659360709649957,0.0,0.0,0.0,1987.6000000000001
57,dangmacdo,2026-05-11,16758800,457517,4322,15556,9,2.848622643111521,101800.0,14.0,-0.01731342785347456,52891.99999999999
57,dangmacdo,2026-05-12,16759900,457530,4319,15558,9,2.8485072793687745,1100.0,13.0,-0.00011536374274667693,2541.6000000000004
57,dangmacdo,2026-05-13,16761300,457542,4319,15558,9,2.848340949190042,1400.0,12.0,-0.00016633017873246558,2691.3
